ID	Box	Pop	Temp	Diet	Phosphorus	GUT	Days_spent	N_clutches	N_clutches_per day	Av_stick_height	Ctmax_time	Ctmax_temp	Cons_animal	Cons_plant	Animal_per_day	Plant_per_day	Ratio_A:P	Total_cons	Cons_rate	Ini_weight	Fin_weight	Growth_rate	Shell_IL	Shell_IAA	Shell_FL	Shell_FAA
166	8	SE	14	A	3	x	74	0	0	0.566666666666667	206	37.4	447.52393939394	0	6.04762080262081	0		447.52393939394	6.13	128.1	361.73	3.15716216216216	9.546	27.028	15.206	73.672
167	8	SE	14	M	0	x	74	0	0	0.233333333333333	197	37	177.651212121212	149.969393939394	2.40069205569206	2.02661343161343	1 : 0.84	327.620606060606	4.49	56.8	146.34	1.21	6.87933333333333	14.931	10.2556666666667	34.356
168	8	SE	14	M	0	x	74	4	0.0540540540540541	1.48333333333333	182	35.2	501.91303030303	450.558484848485	6.78260851760852	6.08862817362817	1 : 0.9	952.471515151515	13.05	146.55	623.8	6.44932432432433	11.0003333333333	29.5666666666667	23.2956666666667	162.777666666667
170	8	SE	14	P	0	x	74	0	0	0.483333333333333	204	38.2	0	260.168484848485	0	3.51579033579033		260.168484848485	3.56	158.52	273.81	1.55797297297297	9.86833333333333	27.0096666666667	13.5793333333333	56.5126666666667
171	8	SE	14	P	3	x	74	29	0.391891891891892	1	171	34.8	0	564.201313131313	0	7.62434206934207		564.201313131313	7.73	244.69	211.95	-0.442432432432433			12.98	68.351
202	9	PT	14	A	0	x	60	6	0.1	0.875	195	36.8	761.175444444444	0	12.6862574074074	0		761.175444444444	12.9	651.27	827.4	2.9355	19.6456666666667	119.673	21.23	139.707666666667
204	9	PT	14	M	0	x	60	2	0.0333333333333333	1.5	206	37.9	163.938111111111	542.327055555555	2.73230185185185	9.03878425925925	1 : 3.31	706.265166666666	11.97	344.74	537.8	3.21766666666667	15.3946666666667	63.3573333333333	19.0963333333333	93.2813333333334
207	9	PT	14	P	0	x	60	0	0	0.75	199	37.3	0	503.567416666667	0	8.39279027777777		503.567416666667	8.54	374.07	400	0.432166666666667	16.188	71.2916666666667	18.5716666666667	97.8803333333333
209	9	PT	14	P	3	x	60	5	0.0833333333333333	0.916666666666667	184	35.7	0	495.141068376068	0	8.25235113960114		495.141068376068	8.39	392.49	410.4	0.2985	15.8983333333333	73.498	17.8703333333333	90.86
211	9	PT	14	A	3	x	60	5	0.0833333333333333	0.8125	188	36.1	619.078717948718	0	10.3179786324786	0		619.078717948718	10.49	471.7	596.6	2.08166666666667	16.917	99.1	17.6743333333333	101.365
213	9	PT	14	M	0	x	60	5	0.0833333333333333	0.625	193	36.8	253.971138888889	596.639569444444	4.23285231481481	9.94399282407407	1 : 2.35	850.610708333333	14.42	589.54	637.5	0.799333333333334	17.2843333333333	94.8566666666667	19.0633333333333	110.204
216	9	PT	14	P	0	x	60	3	0.05	0.729166666666667	197	37.2	0	693.768430555555	0	11.5628071759259		693.768430555555	11.76	571.92	678.2	1.77133333333333	18.2223333333333	95.68	20.8956666666667	117.521666666667
217	9	PT	14	P	3	x	60	1	0.0166666666666667	0.583333333333333	208	38.1	0	345.218675213675	0	5.75364458689459		345.218675213675	5.85	281.22	385.3	1.73466666666667	12.6053333333333	60.994	14.0633333333333	66.8016666666667
220	10	PT	14	A	0	x	60	7	0.116666666666667	1.45833333333333	177	35.1	557.686805555556	0	9.29478009259259	0		557.686805555556	9.45	257.49	526.4	4.48183333333333	14.4726666666667	51.481	18.8956666666667	91.017
223	10	PT	14	M	3	x	60	10	0.166666666666667	0.583333333333333	195	36.9	122.660769230769	298.538076923077	2.04434615384616	4.97563461538462	1 : 2.43	421.198846153846	7.14	258.77	279.8	0.350500000000001	13.1816666666667	55.1156666666667	13.579	54.2223333333333
